,Date,Confirmed_Actual,Confirmed_Predicted
86,2020-06-08,0.0,0.0
87,2020-06-09,1.0,0.0
88,2020-06-10,1.0,0.0
89,2020-06-11,3.0,0.0
90,2020-06-12,0.0,0.0
91,2020-06-13,0.0,1.0
92,2020-06-14,2.0,1.0
93,2020-06-15,1.0,1.0
94,2020-06-16,3.0,1.0
95,2020-06-17,0.0,1.0
96,2020-06-18,1.0,2.0
97,2020-06-19,2.0,2.0
98,2020-06-20,0.0,2.0
99,2020-06-21,1.0,2.0
100,2020-06-22,0.0,3.0
101,2020-06-23,2.0,3.0
102,2020-06-24,6.0,3.0
103,2020-06-25,2.0,4.0
